,accuracy,selection_rate,tpr,tnr,fpr,fnr,ppv,npv,f1,auc
White,0.8262356764152556,0.04292799726355396,0.12864077669902912,0.9753996263234378,0.024600373676562176,0.8713592233009708,0.5278884462151394,0.8396175839885632,0.2068696330991413,0.7686406456905256
Black,0.9125,0.01640625,0.07476635514018691,0.9889173060528559,0.011082693947144074,0.9252336448598131,0.38095238095238093,0.9213661636219221,0.125,0.8397271952259164
APAI,0.8346613545816733,0.035856573705179286,0.09876543209876543,0.9762470308788599,0.023752969121140142,0.9012345679012346,0.4444444444444444,0.8491735537190083,0.16161616161616163,0.7222955338553123
Other,0.989010989010989,0.03296703296703297,0.75,1.0,0.0,0.25,1.0,0.9886363636363636,0.8571428571428571,0.9798850574712643
