,accuracy,selection_rate,tpr,tnr,fpr,fnr,ppv,npv,f1,auc
African_American,0.6992687385740403,0.350091407678245,0.5498154981549815,0.8460144927536232,0.1539855072463768,0.45018450184501846,0.7780678851174935,0.6568213783403657,0.6443243243243243,0.7555484250494678
Caucasian,0.797634691195795,0.17871222076215507,0.453125,0.9138840070298769,0.08611599297012303,0.546875,0.6397058823529411,0.832,0.5304878048780488,0.8210264718804922
Hispanic,0.8305084745762712,0.15254237288135594,0.46153846153846156,0.9347826086956522,0.06521739130434782,0.5384615384615384,0.6666666666666666,0.86,0.5454545454545454,0.84429580081754
Other_Race,0.8646616541353384,0.13533834586466165,0.5,0.9217391304347826,0.0782608695652174,0.5,0.5,0.9217391304347826,0.5,0.8565217391304348
