,accuracy,tpr,tnr,fpr,fnr,ppv,npv,f1,auc,selection_rate,n_samples,std_score
He_Him,0.6604707095000858,0.6274471740250814,0.6406565882150832,0.3593434117849168,0.37255282597491857,0.6358463315801164,0.6323042198805946,0.6316188314021797,0.85,0.7960831472255626,5821.0,0.20216756622546692
She_Her,0.691363907087552,0.6567957117331744,0.6706229898749254,0.3293770101250746,0.3432042882668256,0.6660047445802109,0.6614765693660498,0.6613681725712969,0.85,0.8344252531268612,5037.0,0.1916120395649385
Other,0.7052631578947368,0.6699999999999999,0.6841052631578947,0.31589473684210534,0.33000000000000007,0.6795857356395473,0.6745899937720572,0.6747588254001907,0.85,0.8421052631578947,38.0,0.18201701542937454
Xe_Xem,0.7083333333333334,0.6729166666666667,0.6870833333333334,0.3129166666666666,0.3270833333333333,0.6825866441251057,0.6774856203779787,0.677717163239614,0.85,0.8333333333333334,24.0,0.19773017529507786
They_Them,0.7,0.6649999999999999,0.6789999999999999,0.32100000000000006,0.3350000000000001,0.6744421906693712,0.6696252465483234,0.6696878147029205,0.85,0.8666666666666667,15.0,0.21602468994692867
